LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error
2019-07-15 11:42:08,1900-01-00 00:00:00,,54:65:DE:51:79:20,-76,,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:08,1900-01-00 00:00:00,,B0:7F:B9:DC:2E:BB,-24,,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:08,1900-01-00 00:00:00,,10:DA:43:B5:98:EF,-44,,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:08,1900-01-00 00:00:00,NETGEAR44,B0:7F:B9:DC:2E:BB,-26,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:08,1900-01-00 00:00:00,NETGEAR44_2GEXT,10:DA:43:B5:98:EF,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:08,1900-01-00 00:00:00,Schnauzer,54:65:DE:51:79:20,-78,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:08,1900-01-00 00:00:00,NETGEAR44,B0:7F:B9:DC:2E:BB,-24,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:08,1900-01-00 00:00:00,NETGEAR44_2GEXT,10:DA:43:B5:98:EF,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:12,1900-01-00 00:00:00,,2C:30:33:DE:D0:CE,-74,,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,,9C:3D:CF:06:ED:04,-62,,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,,54:65:DE:30:58:C0,-80,,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,,48:E2:44:EA:68:60,-42,,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-62,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,,B4:2A:0E:F5:3B:BB,-78,,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,TG1672GC2,54:65:DE:30:58:C0,-78,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-62,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,Hanna,48:E2:44:EA:68:60,-42,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:16,1900-01-00 00:00:00,TG1672GC2,54:65:DE:30:58:C0,-78,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:17,1900-01-00 00:00:00,NETGEAR44,B0:7F:B9:DC:2E:BB,-24,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:17,1900-01-00 00:00:00,NETGEAR44_2GEXT,10:DA:43:B5:98:EF,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:17,1900-01-00 00:00:00,Schnauzer,54:65:DE:51:79:20,-78,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:17,1900-01-00 00:00:00,NETGEAR44,B0:7F:B9:DC:2E:BB,-24,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:17,1900-01-00 00:00:00,NETGEAR44_2GEXT,10:DA:43:B5:98:EF,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:22,1900-01-00 00:00:00,56Spyndr2.4,2C:30:33:DE:D0:CE,-78,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,Hanna,48:E2:44:EA:68:60,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,F53BB7-2.4,B4:2A:0E:F5:3B:BB,-74,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,Hanna,48:E2:44:EA:68:60,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-58,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,F53BB7-2.4,B4:2A:0E:F5:3B:BB,-76,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,TG1672GC2,54:65:DE:30:58:C0,-80,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-58,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,Hanna,48:E2:44:EA:68:60,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,F53BB7-2.4,B4:2A:0E:F5:3B:BB,-76,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:25,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:26,1900-01-00 00:00:00,NETGEAR44,B0:7F:B9:DC:2E:BB,-22,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:26,1900-01-00 00:00:00,Schnauzer,54:65:DE:51:79:20,-78,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:26,1900-01-00 00:00:00,NETGEAR44_2GEXT,10:DA:43:B5:98:EF,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:27,1900-01-00 00:00:00,NETGEAR44,B0:7F:B9:DC:2E:BB,-24,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:27,1900-01-00 00:00:00,NETGEAR44_2GEXT,10:DA:43:B5:98:EF,-46,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:27,1900-01-00 00:00:00,Schnauzer,54:65:DE:51:79:20,-78,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:27,1900-01-00 00:00:00,NETGEAR44,B0:7F:B9:DC:2E:BB,-24,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:27,1900-01-00 00:00:00,NETGEAR44_2GEXT,10:DA:43:B5:98:EF,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:31,1900-01-00 00:00:00,56Spyndr2.4,2C:30:33:DE:D0:CE,-76,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:31,1900-01-00 00:00:00,56Spyndr2.4,2C:30:33:DE:D0:CE,-74,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-66,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,Hanna,48:E2:44:EA:68:60,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-58,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,F53BB7-2.4,B4:2A:0E:F5:3B:BB,-76,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-66,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,Hanna,48:E2:44:EA:68:60,-44,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,F53BB7-2.4,B4:2A:0E:F5:3B:BB,-74,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-66,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-58,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,NETGEAR76,9C:3D:CF:06:ED:04,-60,WPA2,0.000000,0.000000,0.000,0.000
2019-07-15 11:42:35,1900-01-00 00:00:00,Hanna,48:E2:44:EA:68:60,-44,WPA2,0.000000,0.000000,0.000,0.000
